Studio,City,ZIP Code,Latitude,Longitude
Jaclyn Urban Luna Coaching,Sherman Oaks,91423,34.15306169,-118.4329589
Polish Your Star Fitness,Burbank,91505,34.16767394,-118.3444989
Yoga With Lois,Los Angeles,90066,34.00215095,-118.4290397
P by Paris,Los Angeles,90025,34.04518389,-118.4502563
Stress Away,Santa Monica,90403,34.02842086,-118.4935369
Ancien Wellness,Los Angeles,90046,34.09715015,-118.3582682
Lila Yoga,Sherman Oaks,91423,34.15306169,-118.4329589
FitClub: Corporate Wellness and Personal Training,Los Angeles,90001,33.97327405,-118.2489696
BlazenFit,Beverly Hills,90212,34.06384134,-118.4002583
Feeling Fit Fitness,Valley Village,91617,34.16486272,-118.4045165
"Jenn Parr, Health & Happiness Coach",Long Beach,90803,33.76151151,-118.1374898
Amanda Star,Los Angeles,90004,34.07572059,-118.3030171
The Ahava Way,Los Angeles,90036,34.06892065,-118.3508078
Puneet Yoga,Los Angeles,90010,34.06139076,-118.3096997
Yoga with Fay,Los Angeles,90036,34.06892065,-118.3508078
Mindful Masha,Los Angeles,90028,34.10072175,-118.3282182
The Yoga Garage,Los Angeles,90046,34.09715015,-118.3582682
Embodiment Work,Los Angeles,90014,34.04475373,-118.2527367
Yoga Daz,Los Angeles,90048,34.07316138,-118.3740667
Aunt Bessi's Creative Healing Center,Los Angeles,90064,34.03541197,-118.4321768
WMN SPACE,Culver City,90232,34.01970043,-118.3959568
Los Angeles Therapy Institute,Los Angeles,90017,34.05230101,-118.2633863
Mary DeCaro,Los Angeles,90068,34.11525145,-118.3314161
Sara R. van Koningsveld,Los Angeles,90001,33.97327405,-118.2489696
Oleg Flow Yoga,Los Angeles,90034,34.02829051,-118.4026959
Stacey Alysson Yoga,Beverly Hills,90210,34.08553161,-118.4042688
Arne Yoga For Seniors,Los Angeles,90025,34.04518389,-118.4502563
Aolani Yoga,Los Angeles,90039,34.11160164,-118.2612573
Mind Body & Spirit Healing,Los Angeles,90066,34.00215095,-118.4290397
Namaste Jenay,Los Angeles,90064,34.03541197,-118.4321768
Faith & Flow,Studio City,91604,34.14446292,-118.3942796
OM Mantra House,Los Angeles,90068,34.11525145,-118.3314161
Brain Gangster,Long Beach,90802,33.76935425,-118.1845288
Divine Dance Los Angeles,Los Angeles,90026,34.07687201,-118.265359
HAAS Wellness Center,Glendale,91205,34.13853199,-118.2438686
Yoga Tune Up,Studio City,91604,34.14446292,-118.3942796
Studio Hasiyat,Studio City,91604,34.14446292,-118.3942796
LA Fitness,Huntington Park,90255,33.97867054,-118.2189978
Skylark Yoga & Bodywork,Los Angeles,90046,34.09715015,-118.3582682
Temple Of Bliss,Los Angeles,90028,34.10072175,-118.3282182
Bahia Shortlidge,Sherman Oaks,91423,34.15306169,-118.4329589
SAFE HAVEN RECOVERY,Beverly Hills,90210,34.08553161,-118.4042688
Angel Najarian,Marina Del Rey,90292,33.98163384,-118.4511079
Beyond Fitness,West Hollywood,90069,34.08940301,-118.379789
Anusara Yoga LA,West Hollywood,90069,34.08940301,-118.379789
CorePower Yoga,Marina Del Rey,90292,33.98163384,-118.4511079
Aaron J. Martin - Unify Yogic Arts,Los Angeles,90043,33.98673053,-118.3329064
Rose Moran Mindful Movement,Sherman Oaks,91423,34.15306169,-118.4329589
Malibu Psychic Center,Malibu,90265,34.03506003,-118.7602985
